timestamp,id,symbol,price_usd,24h_volume_usd,market_cap_usd
2026-06-08T11:18:44.756690Z,bitcoin,BTC,63377,35425306751.4138,1270270137018.352
2026-06-08T11:18:44.756690Z,ethereum,ETH,1680.83,16553584727.573624,202738605961.6124
2026-06-08T11:18:44.756690Z,solana,SOL,66.46,3042530172.8768888,38503606986.34152
